"","tip","cites"
"379","Amazilia violiceps",0
"380","Amazilia viridicauda",0
"381","Amazilia viridifrons",0
"382","Amazilia viridigaster",0
"383","Amazilia yucatanensis",0
"384","Amazona aestiva",59
"385","Amazona agilis",0
"386","Amazona albifrons",1
"387","Amazona amazonica",27
"388","Amazona arausiaca",0
"389","Amazona auropalliata",19
"390","Amazona autumnalis",9
"391","Amazona barbadensis",3
"392","Amazona brasiliensis",7
"393","Amazona collaria",0
"394","Amazona dufresniana",0
"395","Amazona farinosa",1
"396","Amazona festiva",1
"397","Amazona finschi",4
"398","Amazona guildingii",4
"399","Amazona imperialis",1
"400","Amazona kawalli",0
"401","Amazona leucocephala",4
"402","Amazona mercenaria",0
"403","Amazona ochrocephala",4
"404","Amazona oratrix",9
"405","Amazona pretrei",3
"406","Amazona rhodocorytha",3
"407","Amazona tucumana",0
"408","Amazona ventralis",70
"409","Amazona versicolor",0
"410","Amazona vinacea",6
"411","Amazona viridigenalis",2
"412","Amazona vittata",9
"413","Amazona xantholora",0
"414","Amazonetta brasiliensis",1
"415","Amblycercus holosericeus",0
"416","Amblyornis flavifrons",0
"417","Amblyornis inornata",0
"418","Amblyornis macgregoriae",1
"419","Amblyornis subalaris",0
"420","Amblyospiza albifrons",0
"421","Amblyramphus holosericeus",0
"422","Ammodramus aurifrons",0
"423","Ammodramus bairdii",1
"424","Ammodramus caudacutus",17
"425","Ammodramus henslowii",6
"426","Ammodramus humeralis",1
"427","Ammodramus leconteii",0
"428","Ammodramus maritimus",12
"429","Ammodramus nelsoni",12
"430","Ammodramus savannarum",21
"431","Ammomanes cinctura",1
"432","Ammomanes deserti",1
"433","Ammomanes grayi",0
"434","Ammomanes phoenicura",0
"435","Ammoperdix griseogularis",2
"436","Ammoperdix heyi",1
"437","Ampeliceps coronatus",0
"438","Ampelioides tschudii",0
"439","Ampelion rubrocristatus",0
"440","Ampelion rufaxilla",0
"441","Amphilais seebohmi",0
"442","Amphispiza belli",6
"443","Amphispiza bilineata",3
"444","Amytornis ballarae",0
"445","Amytornis barbatus",0
"446","Amytornis dorotheae",0
"447","Amytornis goyderi",0
"448","Amytornis housei",0
"449","Amytornis merrotsyi",0
"450","Amytornis purnelli",0
"451","Amytornis striatus",0
"452","Amytornis textilis",0
"453","Amytornis woodwardi",0
"454","Anabacerthia amaurotis",0
"455","Anabacerthia striaticollis",0
"456","Anabacerthia variegaticeps",0
"457","Anabazenops dorsalis",0
"458","Anabazenops fuscus",1
"459","Anairetes agilis",0
"460","Anairetes agraphia",0
"461","Anairetes alpinus",0
"462","Anairetes fernandezianus",0
"463","Anairetes flavirostris",0
"464","Anairetes nigrocristatus",0
"465","Anairetes parulus",0
"466","Anairetes reguloides",0
"467","Anaplectes rubriceps",0
"468","Anarhynchus frontalis",0
"469","Anas acuta",63
"470","Anas americana",16
"471","Anas andium",0
"472","Anas aucklandica",1
"473","Anas bahamensis",0
"474","Anas bernieri",0
"475","Anas capensis",1
"476","Anas castanea",2
"477","Anas chlorotis",1
"478","Anas clypeata",29
"479","Anas crecca",30
"480","Anas cyanoptera",7
"481","Anas discors",38
"482","Anas eatoni",0
"483","Anas erythrorhyncha",2
"484","Anas falcata",5
"485","Anas flavirostris",4
"486","Anas formosa",4
"487","Anas fulvigula",16
"488","Anas georgica",4
"489","Anas gibberifrons",0
"490","Anas gracilis",3
"491","Anas hottentota",1
"492","Anas laysanensis",3
"493","Anas luzonica",2
"494","Anas melleri",0
"495","Anas nesiotis",1
"496","Anas penelope",18
"497","Anas platalea",1
"498","Anas platyrhynchos",836
"499","Anas poecilorhyncha",12
"500","Anas puna",2
"501","Anas querquedula",14
"502","Anas rhynchotis",0
"503","Anas rubripes",26
"504","Anas sibilatrix",2
"505","Anas smithii",0
"506","Anas sparsa",0
"507","Anas strepera",27
"508","Anas superciliosa",8
"509","Anas undulata",1
"510","Anas versicolor",0
"511","Anas wyvilliana",3
"512","Anastomus lamelligerus",0
"513","Anastomus oscitans",6
"514","Ancistrops strigilatus",0
"515","Andigena cucullata",0
"516","Andigena hypoglauca",0
"517","Andigena laminirostris",0
"518","Andigena nigrirostris",0
"519","Androdon aequatorialis",0
"520","Andropadus ansorgei",0
"521","Andropadus curvirostris",0
"522","Andropadus gracilirostris",0
"523","Andropadus gracilis",0
"524","Andropadus importunus",1
"525","Andropadus latirostris",7
"526","Andropadus masukuensis",0
"527","Andropadus milanjensis",0
"528","Andropadus montanus",0
"529","Andropadus nigriceps",0
"530","Andropadus tephrolaemus",0
"531","Andropadus virens",10
"532","Androphobus viridis",0
"533","Anhima cornuta",1
"534","Anhinga anhinga",42
"535","Anhinga melanogaster",0
"536","Anhinga novaehollandiae",0
"537","Anhinga rufa",0
"538","Anisognathus igniventris",0
"539","Anisognathus lacrymosus",0
"540","Anisognathus melanogenys",0
"541","Anisognathus notabilis",0
"542","Anisognathus somptuosus",0
"543","Anodorhynchus hyacinthinus",21
"544","Anodorhynchus leari",6
"545","Anomalospiza imberbis",12
"546","Anopetia gounellei",0
"547","Anorrhinus austeni",0
"548","Anorrhinus galeritus",0
"549","Anorrhinus tickelli",0
"550","Anous minutus",4
"551","Anous stolidus",12
"552","Anous tenuirostris",3
"553","Anser albifrons",48
"554","Anser anser",138
"555","Anser brachyrhynchus",26
"556","Anser cygnoides",42
"557","Anser erythropus",12
"558","Anser fabalis",39
"559","Anser indicus",64
"560","Anseranas semipalmata",5
"561","Anthocephala floriceps",1
"562","Anthochaera carunculata",3
"563","Anthochaera chrysoptera",0
"564","Anthochaera lunulata",3
"565","Anthochaera paradoxa",0
"566","Anthornis melanura",6
"567","Anthoscopus caroli",0
"568","Anthoscopus flavifrons",0
"569","Anthoscopus minutus",0
"570","Anthoscopus musculus",0
"571","Anthoscopus parvulus",0
"572","Anthoscopus punctifrons",0
"573","Anthracoceros albirostris",4
"574","Anthracoceros coronatus",0
"575","Anthracoceros malayanus",1
"576","Anthracoceros marchei",0
"577","Anthracoceros montani",0
"578","Anthracothorax dominicus",1
"579","Anthracothorax mango",0
"580","Anthracothorax nigricollis",1
"581","Anthracothorax prevostii",0
"582","Anthracothorax veraguensis",0
"583","Anthracothorax viridigula",0
"584","Anthracothorax viridis",0
"585","Anthreptes anchietae",0
"586","Anthreptes aurantium",0
"587","Anthreptes collaris",1
"588","Anthreptes fraseri",0
"589","Anthreptes gabonicus",0
"590","Anthreptes longuemarei",0
"591","Anthreptes malacensis",0
"592","Anthreptes metallicus",0
"593","Anthreptes neglectus",0
"594","Anthreptes orientalis",0
"595","Anthreptes pallidigaster",0
"596","Anthreptes platurus",0
