"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"71","Acrocephalus agricola_ACDUM2",5,"Acrocephalus agricola","ACDUM2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"72","Acrocephalus agricola_DELURB4",1,"Acrocephalus agricola","DELURB4","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"73","Acrocephalus agricola_GRW04",2,"Acrocephalus agricola","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"74","Acrocephalus agricola_GRW11",2,"Acrocephalus agricola","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"75","Acrocephalus agricola_HIICT1",2,"Acrocephalus agricola","HIICT1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"76","Acrocephalus agricola_RW2",1,"Acrocephalus agricola","RW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"77","Acrocephalus agricola_SGS1",3,"Acrocephalus agricola","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"78","Acrocephalus agricola_SW4",3,"Acrocephalus agricola","SW4","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"79","Acrocephalus arundinaceus_ACSTE1",3,"Acrocephalus arundinaceus","ACSTE1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"80","Acrocephalus arundinaceus_GRW01",21,"Acrocephalus arundinaceus","GRW01","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"81","Acrocephalus arundinaceus_GRW02",10,"Acrocephalus arundinaceus","GRW02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"82","Acrocephalus arundinaceus_GRW03",4,"Acrocephalus arundinaceus","GRW03","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"83","Acrocephalus arundinaceus_GRW04",17,"Acrocephalus arundinaceus","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"84","Acrocephalus arundinaceus_GRW05",9,"Acrocephalus arundinaceus","GRW05","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"85","Acrocephalus arundinaceus_GRW06",4,"Acrocephalus arundinaceus","GRW06","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"86","Acrocephalus arundinaceus_GRW07",1,"Acrocephalus arundinaceus","GRW07","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"87","Acrocephalus arundinaceus_GRW08",2,"Acrocephalus arundinaceus","GRW08","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
