"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"6690","Phoenicurus moussieri_SGS1",3,"Phoenicurus moussieri","SGS1","Plasmodium","Passeriformes","Muscicapidae","Phoenicurus",1,"Phoenicurus_moussieri","yes","Phoenicurus moussieri"
"6691","Phoenicurus ochruros_GRW11",2,"Phoenicurus ochruros","GRW11","Plasmodium","Passeriformes","Muscicapidae","Phoenicurus",1,"Phoenicurus_ochruros","yes","Phoenicurus ochruros"
"6692","Phoenicurus ochruros_SGS1",4,"Phoenicurus ochruros","SGS1","Plasmodium","Passeriformes","Muscicapidae","Phoenicurus",1,"Phoenicurus_ochruros","yes","Phoenicurus ochruros"
"6696","Phoenicurus phoenicurus_GRW04",1,"Phoenicurus phoenicurus","GRW04","Plasmodium","Passeriformes","Muscicapidae","Phoenicurus",1,"Phoenicurus_phoenicurus","yes","Phoenicurus phoenicurus"
"6704","Phoenicurus phoenicurus_SGS1",3,"Phoenicurus phoenicurus","SGS1","Plasmodium","Passeriformes","Muscicapidae","Phoenicurus",1,"Phoenicurus_phoenicurus","yes","Phoenicurus phoenicurus"
"6799","Phylloscopus collybita_PHCOL01",1,"Phylloscopus collybita","PHCOL01","Plasmodium","Passeriformes","Sylviidae","Phylloscopus",1,"Phylloscopus_collybita","yes","Phylloscopus collybita"
"6884","Phylloscopus trochilus_SGS1",1,"Phylloscopus trochilus","SGS1","Plasmodium","Passeriformes","Sylviidae","Phylloscopus",1,"Phylloscopus_trochilus","yes","Phylloscopus trochilus"
"6921","Pica pica_SGS1",2,"Pica pica","SGS1","Plasmodium","Passeriformes","Corvidae","Pica",1,"Pica_pica","yes","Pica pica"
"7116","Ploceus capensis_SGS1",1,"Ploceus capensis","SGS1","Plasmodium","Passeriformes","Ploceidae","Ploceus",1,"Ploceus_capensis","yes","Ploceus capensis"
"7157","Ploceus melanocephalus_SGS1",2,"Ploceus melanocephalus","SGS1","Plasmodium","Passeriformes","Ploceidae","Ploceus",1,"Ploceus_melanocephalus","yes","Ploceus melanocephalus"
"7166","Ploceus nelicourvi_GRW04",2,"Ploceus nelicourvi","GRW04","Plasmodium","Passeriformes","Ploceidae","Ploceus",1,"Ploceus_nelicourvi","yes","Ploceus nelicourvi"
"7227","Ploceus velatus_LZFUS01",1,"Ploceus velatus","LZFUS01","Plasmodium","Passeriformes","Ploceidae","Ploceus",1,"Ploceus_velatus","yes","Ploceus velatus"
"7232","Ploceus velatus_SGS1",1,"Ploceus velatus","SGS1","Plasmodium","Passeriformes","Ploceidae","Ploceus",1,"Ploceus_velatus","yes","Ploceus velatus"
"7335","Prinia socialis_GRW04",1,"Prinia socialis","GRW04","Plasmodium","Passeriformes","Cisticolidae","Prinia",1,"Prinia_socialis","yes","Prinia socialis"
"7346","Promerops cafer_GRW04",1,"Promerops cafer","GRW04","Plasmodium","Passeriformes","Nectariniidae","Promerops",1,"Promerops_cafer","yes","Promerops cafer"
"7354","Prunella modularis_GRW11",1,"Prunella modularis","GRW11","Plasmodium","Passeriformes","Passeridae","Prunella",1,"Prunella_modularis","yes","Prunella modularis"
"7361","Prunella modularis_SGS1",3,"Prunella modularis","SGS1","Plasmodium","Passeriformes","Passeridae","Prunella",1,"Prunella_modularis","yes","Prunella modularis"
"7399","Pseudobias wardi_GRW04",2,"Pseudobias wardi","GRW04","Plasmodium","Passeriformes","Platysteiridae","Pseudobias",1,"Pseudobias_wardi","yes","Pseudobias wardi"
"7463","Pycnonotus barbatus_LZFUS01",1,"Pycnonotus barbatus","LZFUS01","Plasmodium","Passeriformes","Pycnonotidae","Pycnonotus",1,"Pycnonotus_barbatus","yes","Pycnonotus barbatus"
"7477","Pycnonotus capensis_GRW11",1,"Pycnonotus capensis","GRW11","Plasmodium","Passeriformes","Pycnonotidae","Pycnonotus",1,"Pycnonotus_capensis","yes","Pycnonotus capensis"
"7479","Pycnonotus capensis_SGS1",1,"Pycnonotus capensis","SGS1","Plasmodium","Passeriformes","Pycnonotidae","Pycnonotus",1,"Pycnonotus_capensis","yes","Pycnonotus capensis"
"7533","Pyrrhula pyrrhula_GRW11",2,"Pyrrhula pyrrhula","GRW11","Plasmodium","Passeriformes","Fringillidae","Pyrrhula",1,"Pyrrhula_pyrrhula","yes","Pyrrhula pyrrhula"
"7541","Pyrrhula pyrrhula_SGS1",2,"Pyrrhula pyrrhula","SGS1","Plasmodium","Passeriformes","Fringillidae","Pyrrhula",1,"Pyrrhula_pyrrhula","yes","Pyrrhula pyrrhula"
"7554","Pytilia melba_SGS1",1,"Pytilia melba","SGS1","Plasmodium","Passeriformes","Estrildidae","Pytilia",1,"Pytilia_melba","yes","Pytilia melba"
"7563","Quelea quelea_GRW04",2,"Quelea quelea","GRW04","Plasmodium","Passeriformes","Ploceidae","Quelea",1,"Quelea_quelea","yes","Quelea quelea"
"7698","Riparia riparia_SGS1",2,"Riparia riparia","SGS1","Plasmodium","Passeriformes","Hirundinidae","Riparia",1,"Riparia_riparia","yes","Riparia riparia"
"7747","Saxicola rubetra_GRW11",1,"Saxicola rubetra","GRW11","Plasmodium","Passeriformes","Turdidae","Saxicola",1,"Saxicola_rubetra","yes","Saxicola rubetra"
"7754","Saxicola rubetra_SGS1",4,"Saxicola rubetra","SGS1","Plasmodium","Passeriformes","Turdidae","Saxicola",1,"Saxicola_rubetra","yes","Saxicola rubetra"
"7762","Saxicola torquatus_GRW04",2,"Saxicola torquata","GRW04","Plasmodium","Passeriformes","Turdidae","Saxicola",1,"Saxicola_torquatus","no","Saxicola torquatus"
"7767","Saxicola torquatus_SGS1",1,"Saxicola maura","SGS1","Plasmodium","Passeriformes","Turdidae","Saxicola",1,"Saxicola_torquatus","no","Saxicola torquatus"
"7772","Sayornis nigricans_SGS1",1,"Sayornis nigricans","SGS1","Plasmodium","Passeriformes","Tyrannidae","Sayornis",1,"Sayornis_nigricans","yes","Sayornis nigricans"
"7852","Serinus canaria_SGS1",1,"Serinus canaria","SGS1","Plasmodium","Passeriformes","Fringillidae","Serinus",1,"Serinus_canaria","yes","Serinus canaria"
"7877","Serinus rufobrunneus_GRW04",1,"Crithagra rufobrunnea","GRW04","Plasmodium","Passeriformes","Fringillidae","Crithagra",1,"Serinus_rufobrunneus","no","Serinus rufobrunneus"
"7891","Serinus serinus_SGS1",4,"Serinus serinus","SGS1","Plasmodium","Passeriformes","Fringillidae","Serinus",1,"Serinus_serinus","yes","Serinus serinus"
"7901","Serpophaga cinerea_SGS1",1,"Serpophaga cinerea","SGS1","Plasmodium","Passeriformes","Tyrannidae","Serpophaga",1,"Serpophaga_cinerea","yes","Serpophaga cinerea"
"7951","Sitta europaea_GRW11",1,"Sitta europaea","GRW11","Plasmodium","Passeriformes","Sittidae","Sitta",1,"Sitta_europaea","yes","Sitta europaea"
"7960","Sitta europaea_SGS1",1,"Sitta europaea","SGS1","Plasmodium","Passeriformes","Sittidae","Sitta",1,"Sitta_europaea","yes","Sitta europaea"
"7981","Somateria mollissima_SGS1",1,"Somateria mollissima","SGS1","Plasmodium","Anseriformes","Anatidae","Somateria",1,NA,NA,"Somateria mollissima"
"7993","Spheniscus demersus_GRW11",2,"Spheniscus demersus","GRW11","Plasmodium","Sphenisciformes","Spheniscidae","Spheniscus",1,"Spheniscus_demersus","yes","Spheniscus demersus"
"7997","Spheniscus demersus_SGS1",2,"Spheniscus demersus","SGS1","Plasmodium","Sphenisciformes","Spheniscidae","Spheniscus",1,"Spheniscus_demersus","yes","Spheniscus demersus"
"8002","Spheniscus humboldti_GRW04",1,"Spheniscus humboldti","GRW04","Plasmodium","Sphenisciformes","Spheniscidae","Spheniscus",1,"Spheniscus_humboldti","yes","Spheniscus humboldti"
"8005","Spheniscus humboldti_SGS1",1,"Spheniscus humboldti","SGS1","Plasmodium","Sphenisciformes","Spheniscidae","Spheniscus",1,"Spheniscus_humboldti","yes","Spheniscus humboldti"
"8081","Stachyris pyrrhops_GRW04",2,"Stachyris pyrrhops","GRW04","Plasmodium","Passeriformes","Timaliidae","Stachyris",1,"Stachyris_pyrrhops","yes","Stachyris pyrrhops"
"8212","Sturnus cineraceus_SGS1",2,"Sturnus cineraceus","SGS1","Plasmodium","Passeriformes","Sturnidae","Sturnus",1,NA,NA,"Sturnus cineraceus"
"8217","Sturnus unicolor_SGS1",1,"Sturnus unicolor","SGS1","Plasmodium","Passeriformes","Sturnidae","Sturnus",1,"Sturnus_unicolor","yes","Sturnus unicolor"
"8222","Sturnus vulgaris_GRW04",1,"Sturnus vulgaris","GRW04","Plasmodium","Passeriformes","Sturnidae","Sturnus",1,"Sturnus_vulgaris","yes","Sturnus vulgaris"
"8245","Sylvia atricapilla_GRW11",3,"Sylvia atricapilla","GRW11","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_atricapilla","yes","Sylvia atricapilla"
"8259","Sylvia atricapilla_SGS1",11,"Sylvia atricapilla","SGS1","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_atricapilla","yes","Sylvia atricapilla"
"8324","Sylvia borin_GRW11",6,"Sylvia borin","GRW11","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_borin","yes","Sylvia borin"
"8333","Sylvia borin_SGS1",14,"Sylvia borin","SGS1","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_borin","yes","Sylvia borin"
"8373","Sylvia cantillans_GRW11",1,"Sylvia cantillans","GRW11","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_cantillans","yes","Sylvia cantillans"
"8389","Sylvia communis_GRW11",4,"Sylvia communis","GRW11","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_communis","yes","Sylvia communis"
"8396","Sylvia communis_SGS1",9,"Sylvia communis","SGS1","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_communis","yes","Sylvia communis"
"8406","Sylvia conspicillata_GRW11",1,"Sylvia conspicillata","GRW11","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_conspicillata","yes","Sylvia conspicillata"
"8424","Sylvia curruca_GRW11",3,"Sylvia curruca","GRW11","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_curruca","yes","Sylvia curruca"
"8432","Sylvia curruca_SGS1",4,"Sylvia curruca","SGS1","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_curruca","yes","Sylvia curruca"
"8440","Sylvia deserticola_SGS1",2,"Sylvia deserticola","SGS1","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_deserticola","yes","Sylvia deserticola"
"8446","Sylvia melanocephala_GRW11",2,"Sylvia melanocephala","GRW11","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_melanocephala","yes","Sylvia melanocephala"
"8456","Sylvia melanocephala_SGS1",16,"Sylvia melanocephala","SGS1","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_melanocephala","yes","Sylvia melanocephala"
"8466","Sylvia nisoria_GRW11",2,"Sylvia nisoria","GRW11","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_nisoria","yes","Sylvia nisoria"
"8467","Sylvia nisoria_SGS1",1,"Sylvia nisoria","SGS1","Plasmodium","Passeriformes","Sylviidae","Sylvia",1,"Sylvia_nisoria","yes","Sylvia nisoria"
